date,remote jobs,hybrid work,work from home,isPartial
2020-02-09,7,0,23,False
2020-02-16,8,1,23,False
2020-02-23,8,0,23,False
2020-03-01,8,0,29,False
2020-03-08,8,0,48,False
2020-03-15,11,0,100,False
2020-03-22,12,0,87,False
2020-03-29,11,0,67,False
2020-04-05,10,0,54,False
2020-04-12,10,0,46,False
2020-04-19,10,0,43,False
2020-04-26,10,0,46,False
2020-05-03,11,1,41,False
2020-05-10,11,1,51,False
2020-05-17,12,1,44,False
2020-05-24,11,1,40,False
2020-05-31,11,1,40,False
2020-06-07,11,1,40,False
2020-06-14,12,0,41,False
2020-06-21,12,1,40,False
2020-06-28,12,1,43,False
2020-07-05,13,1,45,False
2020-07-12,13,1,47,False
2020-07-19,14,1,46,False
2020-07-26,14,1,47,False
2020-08-02,13,1,44,False
2020-08-09,13,1,40,False
2020-08-16,14,1,41,False
2020-08-23,14,1,38,False
2020-08-30,14,1,39,False
2020-09-06,13,1,38,False
2020-09-13,13,1,39,False
2020-09-20,12,1,41,False
2020-09-27,12,1,36,False
2020-10-04,12,0,37,False
2020-10-11,11,1,37,False
2020-10-18,12,1,39,False
2020-10-25,11,0,35,False
2020-11-01,11,0,34,False
2020-11-08,12,1,35,False
2020-11-15,12,0,35,False
2020-11-22,10,0,32,False
2020-11-29,12,0,37,False
2020-12-06,12,1,37,False
2020-12-13,11,1,35,False
2020-12-20,8,0,26,False
2020-12-27,12,0,31,False
2021-01-03,13,0,42,False
2021-01-10,14,1,36,False
2021-01-17,13,1,36,False
2021-01-24,15,1,34,False
2021-01-31,13,1,34,False
2021-02-07,13,1,33,False
2021-02-14,13,1,32,False
2021-02-21,13,1,36,False
2021-02-28,12,1,32,False
2021-03-07,12,1,31,False
2021-03-14,12,1,30,False
2021-03-21,11,1,31,False
2021-03-28,11,1,31,False
2021-04-04,12,1,34,False
2021-04-11,12,1,35,False
2021-04-18,13,1,37,False
2021-04-25,13,1,37,False
2021-05-02,14,1,40,False
2021-05-09,14,1,41,False
2021-05-16,15,1,40,False
2021-05-23,15,1,38,False
2021-05-30,15,1,40,False
2021-06-06,15,1,38,False
2021-06-13,15,1,39,False
2021-06-20,17,1,39,False
2021-06-27,16,1,40,False
2021-07-04,16,1,39,False
2021-07-11,18,1,43,False
2021-07-18,18,1,40,False
2021-07-25,18,1,39,False
2021-08-01,18,1,41,False
2021-08-08,19,1,39,False
2021-08-15,20,1,42,False
2021-08-22,21,1,41,False
2021-08-29,20,1,40,False
2021-09-05,21,1,40,False
2021-09-12,22,1,41,False
2021-09-19,21,1,42,False
2021-09-26,21,1,43,False
2021-10-03,20,1,41,False
2021-10-10,23,1,40,False
2021-10-17,23,1,40,False
2021-10-24,21,1,40,False
2021-10-31,22,1,36,False
2021-11-07,21,1,41,False
2021-11-14,21,1,40,False
2021-11-21,17,1,33,False
2021-11-28,22,1,41,False
2021-12-05,22,1,45,False
2021-12-12,21,1,41,False
2021-12-19,17,1,35,False
2021-12-26,23,1,40,False
2022-01-02,35,1,60,False
2022-01-09,32,1,51,False
2022-01-16,30,1,49,False
2022-01-23,31,1,52,False
2022-01-30,32,1,52,False
2022-02-06,30,1,48,False
2022-02-13,30,2,50,False
2022-02-20,29,2,49,False
2022-02-27,30,2,51,False
2022-03-06,31,2,50,False
2022-03-13,29,2,47,False
2022-03-20,31,2,46,False
2022-03-27,32,2,48,False
2022-04-03,35,2,47,False
2022-04-10,33,2,45,False
2022-04-17,35,2,48,False
2022-04-24,36,2,49,False
2022-05-01,36,2,45,False
2022-05-08,34,2,47,False
2022-05-15,33,2,44,False
2022-05-22,31,2,44,False
2022-05-29,31,2,47,False
2022-06-05,34,2,50,False
2022-06-12,36,2,50,False
2022-06-19,39,2,50,False
2022-06-26,37,2,51,False
2022-07-03,35,2,49,False
2022-07-10,37,2,50,False
2022-07-17,40,2,53,False
2022-07-24,38,2,52,False
2022-07-31,38,2,52,False
2022-08-07,39,2,48,False
2022-08-14,39,2,49,False
2022-08-21,37,2,52,False
2022-08-28,39,2,49,False
2022-09-04,37,2,48,False
2022-09-11,35,2,53,False
2022-09-18,36,2,51,False
2022-09-25,36,2,46,False
2022-10-02,38,2,45,False
2022-10-09,37,2,51,False
2022-10-16,37,2,46,False
2022-10-23,38,2,46,False
2022-10-30,39,2,48,False
2022-11-06,37,2,48,False
2022-11-13,39,2,48,False
2022-11-20,27,1,38,False
2022-11-27,37,1,46,False
2022-12-04,37,2,44,False
2022-12-11,35,2,46,False
2022-12-18,29,1,39,False
2022-12-25,36,1,45,False
2023-01-01,47,1,51,False
2023-01-08,49,2,51,False
2023-01-15,46,2,53,False
2023-01-22,46,2,54,False
2023-01-29,44,2,51,False
2023-02-05,43,2,48,False
2023-02-12,40,2,46,False
2023-02-19,41,2,47,False
2023-02-26,42,2,46,False
2023-03-05,42,2,47,False
2023-03-12,39,2,46,False
2023-03-19,44,2,48,False
2023-03-26,43,2,48,False
2023-04-02,43,2,46,False
2023-04-09,44,2,46,False
2023-04-16,47,2,48,False
2023-04-23,44,2,48,False
2023-04-30,45,2,46,False
2023-05-07,45,2,46,False
2023-05-14,42,2,47,False
2023-05-21,42,2,48,False
2023-05-28,45,2,49,False
2023-06-04,46,2,51,False
2023-06-11,47,2,53,False
2023-06-18,47,2,51,False
2023-06-25,52,2,52,False
2023-07-02,49,2,53,False
2023-07-09,51,2,55,False
2023-07-16,49,2,54,False
2023-07-23,50,2,52,False
2023-07-30,51,2,53,False
2023-08-06,51,2,51,False
2023-08-13,52,2,52,False
2023-08-20,48,2,51,False
2023-08-27,49,2,48,False
2023-09-03,46,2,50,False
2023-09-10,47,2,49,False
2023-09-17,49,2,47,False
2023-09-24,47,2,46,False
2023-10-01,48,2,49,False
2023-10-08,46,2,43,False
2023-10-15,45,2,44,False
2023-10-22,46,2,43,False
2023-10-29,45,2,44,False
2023-11-05,45,2,45,False
2023-11-12,44,2,41,False
2023-11-19,35,2,38,False
2023-11-26,46,2,47,False
2023-12-03,43,2,43,False
2023-12-10,41,2,42,False
2023-12-17,37,1,39,False
2023-12-24,44,1,39,False
2023-12-31,53,2,49,False
2024-01-07,54,2,50,False
2024-01-14,54,2,47,False
2024-01-21,55,2,47,False
2024-01-28,57,2,47,False
2024-02-04,57,2,51,False
2024-02-11,50,2,43,False
2024-02-18,53,2,47,False
2024-02-25,55,2,49,False
2024-03-03,53,2,45,False
2024-03-10,48,2,46,False
2024-03-17,54,2,43,False
2024-03-24,52,2,42,False
2024-03-31,53,2,44,False
2024-04-07,50,2,43,False
2024-04-14,53,2,44,False
2024-04-21,52,2,46,False
2024-04-28,53,2,47,False
2024-05-05,53,2,43,False
2024-05-12,54,2,48,False
2024-05-19,51,2,43,False
2024-05-26,53,2,45,False
2024-06-02,52,2,45,False
2024-06-09,56,2,44,False
2024-06-16,55,2,45,False
2024-06-23,57,2,46,False
2024-06-30,50,2,44,False
2024-07-07,60,2,47,False
2024-07-14,57,2,46,False
2024-07-21,60,2,49,False
2024-07-28,57,2,47,False
2024-08-04,60,2,50,False
2024-08-11,62,2,48,False
2024-08-18,63,2,47,False
2024-08-25,60,2,46,False
2024-09-01,58,2,47,False
2024-09-08,53,2,47,False
2024-09-15,58,2,46,False
2024-09-22,55,2,43,False
2024-09-29,53,2,43,False
2024-10-06,52,2,40,False
2024-10-13,50,2,42,False
2024-10-20,53,2,44,False
2024-10-27,48,2,38,False
2024-11-03,51,2,40,False
2024-11-10,53,2,46,False
2024-11-17,51,2,43,False
2024-11-24,39,2,36,False
2024-12-01,49,2,42,False
2024-12-08,45,2,41,False
2024-12-15,43,2,38,False
2024-12-22,38,1,37,False
2024-12-29,52,2,43,False
2025-01-05,64,2,48,False
2025-01-12,62,2,46,False
2025-01-19,59,2,48,False
2025-01-26,57,2,44,False
2025-02-02,59,2,42,False
2025-02-09,53,2,39,True
